MMP9
IRF2BP2
BMI1
DNMT3B
DPPA4
GOLGA1
TUBG1
ZMYND8
ZNF202
TNRC18
POU5F1
B9D2
TLR3
COMMD3
DHRS4
IFIT2
FAM124A
DHX35
TSC22D4
RING1
RNF175
L1TD1
NUSAP1
ZNF580
SFRP2
ATG4C
RCHY1
ZNF587
GMEB1
PAXIP1
CHAC1
DPPA2
NARS2
TMEM121
PHF14
TRIM71
PQLC1
CBX4
ZNF484
USP44
HSD17B4
ANLN
ATG9A
HMGN2
ZNF467
IRAK4
PRR14
TMEM126B
TBC1D10B
UBL5
EMP1
TRIM24
MYO10
ACTR3B
STX10
GADD45GIP1
EIF4EBP2
PURA
CCDC130
RABGAP1L
ASNS
NAF1
KIF20A
ZFAND3
SLC10A7
REM1
URM1
ADAM11
TBC1D26
ZNF511
SEC22B
STUB1
DDX27
ZNF232
DCTN3
RASSF9
MARCH9
SLC22A18AS
MAN2B2
MAN2C1
BAD
RASGRP3
CSNK1G3
TYK2
MDN1
GNPDA2
CCT3
MED4
IMPA1
PAWR
TSEN54
POLR3GL
ABTB1
PPP2R5E
ATG2A
SGMS2
ZNF518A
TARS
SMUG1
JMY
SLIT2
PLEKHM1
RPS23
SLC11A1
ATP5D
IFIT3
SF3B3
HSPA4
CHCHD3
KIF23
USP1
DUSP3
PCNXL3
ADSS
PTBP2
ZNF398
NCAPH2
FLAD1
ZC3H18
PRKD2
ASCC3
SARS2
GLIPR1
NUDT19
PBX2
ZNF317
GJA1
ABHD14B
STK3
IDH3A
MAN1B1
POLD1
DOHH
IFI44L
RNF41
DHX37
FAF1
PSAT1
GTF2IRD2
ZNF98
MARVELD3
SDSL
CEP72
STK38
ARMC6
BCHE
ZNF324
PDE1A
CSAD
DUSP18
MYSM1
BBS9
KRT18
SEC14L5
CSNK1E
PEBP1
SNRPD1
ECD
ZNF416
NLGN2
MUC12
ENO2
LOC399744
SP100
LRRC32
KCND2
ATAD3A
PTPN4
MAPRE3
NVL
BIRC5
SORD
PI4KB
CENPJ
SNX3
INCENP
ACTN3
ASF1B
ESM1
ZNF584
ACTR10
NBR2
JAK2
CPNE3
CHERP
DIDO1
MTA3
CENPE
PAQR9
PDE6D
SALL4
MAD2L2
GRM2
PHF20L1
ATP6V0E1
CENPB
ESCO1
PPM1D
JMJD1C
ZNF649
EIF4E
GTF3C4
ACTA1
LOC374443
SLC36A4
SIAH1
LMTK2
PPAT
BCAS2
NAP1L1
ZNF574
LIMA1
GPR160
HK2
NADK
ZNF281
HS1BP3
ZC3H15
CBX2
MKNK1
SALL2
MSRB3
CHMP6
WFDC3
LINGO1
AEBP2
RIC8B
KIF21B
SDPR
RPAIN
CNBP
MCM4
PCDHB17
OGFR
RNF8
TINF2
EARS2
ZNF543
PITRM1
KLHL12
APIP
GULP1
NDST2
UBE2E1
NANOG
RUVBL2
CWF19L2
BCL3
HCG18
KIAA1586
GPBP1
CCNF
AASS
LRRC8B
BCCIP
DYNC1LI2
EXOC2
ACTR1B
TCF3
ZNF333
ATP9B
ZNF625
OLFM2
FABP6
SFPQ
ZMYM2
LIMS1
PIK3CB
RBPJ
ZNF589
RAC2
TTC27
NRBP2
ZNF614
TCF7L2
TAP2
PRR11
PID1
RAB40B
SMC2
CDCA7
TG
MLLT6
ARSD
ZNF436
FHL5
FAM50B
PFAS
PPIC
PIPOX
HPS3
PDE7B
RIN2
DDX50
GTSE1
TCHP
LSR
TCF25
XRN2
VANGL2
FAM46B
PLA2G4A
ABCA2
SLC13A4
MRPS12
PABPN1
SYT1
MRS2
ETFDH
SLC9A5
EIF1B
NFATC2IP
ZNF616
ZFYVE19
PTMA
MTERF
LAMA2
RBM23
IQCC
ZNF101
UNC5A
BASP1
SIX4
VWCE
FAHD2A
TRAF2
DFFA
CCDC43
OSBPL7
RAD54B
ZNF720
RGPD2
GNAL
LOC401052
DNAJB6
TRDMT1
PHF2
SLC9A9
TESK2
GSTM3
ACSS1
ARHGEF19
QPRT
SMPD1
RANBP3L
DNAJC1
CHST10
HTR1D
ATP9A
LRRC23
SMARCD1
IGSF3
ZNF775
MAGEF1
TMEM100
CIRH1A
CHCHD5
SRR
POU2F1
PGAM5
ZDHHC8
