"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"UNC5D" -1.91179354575829 6.25116341585889 -20.6586434662221 1.72533801512733e-35 3.27675579640834e-33 70.3942235898529
"C1ORF94" -2.40713652804141 6.76271663327829 -20.5957872880893 2.15523547401087e-35 4.05699236882171e-33 70.1717944726899
"AASS" -3.69096737076242 9.00370882127902 -20.589533539337 2.20352742731894e-35 4.11151157074571e-33 70.1496393796929
"ZNF398" -1.43383909306095 7.80215902096902 -20.4448689347119 3.68366015212586e-35 6.81349000833645e-33 69.6358734563552
"USP9X" -1.90368217478066 10.2060240081749 -20.4019840983925 4.29174335557329e-35 7.86979938934477e-33 69.4831042356769
"GSTK1" 1.72211896384398 10.8935391232134 20.3309768549088 5.52970682387702e-35 1.00531960556144e-32 69.2296833055453
"TMEM145" -2.7302665129596 8.08582993711839 -20.1596492888236 1.02167947742876e-34 1.84170713257518e-32 68.6157987199364
"MATK" -2.8167115045959 7.24965692467773 -20.0998795346249 1.26669574768896e-34 2.26419203773881e-32 68.4008273876389
"C10ORF96" -1.92910948722591 6.25812948152788 -20.0711600167144 1.40473648706986e-34 2.49001248470526e-32 68.2973836119501
"SLC8A2" -2.78829604172762 7.14289016610489 -20.0611627993085 1.45627060784708e-34 2.56002744624093e-32 68.2613522048319
"SMPDL3B" -2.80172330008943 7.22383222777107 -20.0394452079377 1.574892479147e-34 2.74586376425704e-32 68.1830382901624
"ALPK1" 2.54661016943442 6.78317867960377 19.9819502561836 1.93820874569115e-34 3.35184050647126e-32 67.9754420321884
"MIAT" -3.729869384261 7.92422474755429 -19.9495142432922 2.17937813642176e-34 3.73851228546994e-32 67.8581534118537
"MSRA" 1.80856982452463 8.90074304894005 19.8924733077455 2.67934924039524e-34 4.55939501539577e-32 67.6515913312575
"CECR6" -1.91987229774835 6.99167790691511 -19.8561608380684 3.0564450610577e-34 5.15981292807607e-32 67.5198922309735
"ZNF25" 2.88198507530937 8.31031641114454 19.7578293190198 4.36930337227278e-34 7.31806708910349e-32 67.1624742120137
"B3GAT1" -1.21816667239772 6.26085454382709 -19.6940182993638 5.51300239130279e-34 9.1614901457345e-32 66.9299162241807
"HS.56147" -1.1582987399563 5.91974916858907 -19.6873666181743 5.64840618783103e-34 9.3137401566941e-32 66.9056463465039
"LEFTY2" -5.12817855441443 8.43981950295426 -19.6433109960763 6.63402244132293e-34 1.085479164226e-31 66.7447679065365
"PTPRZ1" -3.8897446788855 7.94528444967667 -19.5942430896982 7.93765142603622e-34 1.28886857620776e-31 66.5653128207661
"CUX2" -2.35235723328428 6.51186575487107 -19.5630410770766 8.89819716399161e-34 1.43389054450959e-31 66.4510483453161
"IL10RB" 2.33557723524343 9.26090084231223 19.549611859481 9.34693775723604e-34 1.49487754161028e-31 66.4018334599732
"CRABP1" -4.89220940845031 8.31168637638752 -19.5414877498995 9.62942108798195e-34 1.52856280569003e-31 66.372050030668
"C18ORF26" -2.1461304755375 6.90596133854494 -19.4051525965412 1.58893576674934e-33 2.50357427366853e-31 65.8710546547372
"CD97" 2.90220774236895 8.42289357263685 19.4016373059397 1.60963435428662e-33 2.51753914338461e-31 65.8581073144178
"SALL2" -3.73653218192636 9.8665224612674 -19.3531667703153 1.92440249578163e-33 2.98788069253803e-31 65.6794311521994
"HS.12513" -2.24272542915683 6.7087105906255 -19.3050334024408 2.29850403107941e-33 3.5428608148616e-31 65.5017172036623
"CYP2S1" -3.93119758499106 8.50474203397942 -19.254069016523 2.77500065049734e-33 4.2465495565992e-31 65.3132454689127
"INPP1" 2.60003160626462 9.34728621296004 19.2170807038323 3.18220560951021e-33 4.8349068228494e-31 65.1762617782042
"GRM2" -1.55001231645883 7.0535258929621 -19.1601607251269 3.92984943032353e-33 5.92849838527743e-31 64.9651384069842
"HS.570988" 3.81534940539226 9.9501420008262 19.1546018338687 4.011764185277e-33 6.00945323838218e-31 64.9444986976043
"SYT6" -2.11081979099164 6.37535770480763 -19.0681872635146 5.53121187593181e-33 8.22758096594025e-31 64.6231652924589
"C12ORF45" -1.79359805303531 8.99749488555086 -19.0228784416511 6.54802996815982e-33 9.67244065643942e-31 64.454320682363
"WDR13" 1.52730309519894 9.47892576876541 18.9662664666837 8.0878964845156e-33 1.18646652498022e-30 64.243002634288
"DNA2" -1.44971457755158 7.72777681901457 -18.9630862376032 8.18452148275757e-33 1.19241750999819e-30 64.2311200412802
"FLVCR1" -1.97501623829623 8.09037671201727 -18.9508436276323 8.56748505619626e-33 1.23972091585272e-30 64.185365274438
"LOC652097" -4.57013075069612 8.05568044220272 -18.9359263317148 9.05863859521776e-33 1.30193446999241e-30 64.1295895414766
