"Sample.id" "cell.type" "cell.line.tissue.type" "gender"
"GSM760029" "cell type: embryonic stem cell, undifferentiated" "cell line: WA09" "Female"
"GSM760030" "cell type: embryonic stem cell, undifferentiated" "cell line: WA09" "Female"
"GSM760031" "cell type: embryonic stem cell, undifferentiated" "cell line: WA09" "Female"
"GSM760032" "cell type: embryonic stem cell, undifferentiated" "cell line: WA09" "Female"
"GSM760033" "cell type: embryonic stem cell, undifferentiated" "cell line: WA09" "Female"
"GSM760034" "cell type: embryonic stem cell, undifferentiated" "cell line: WA09" "Female"
"GSM760035" "cell type: embryonic stem cell, undifferentiated" "cell line: WA09" "Female"
"GSM760036" "cell type: embryonic stem cell, undifferentiated" "cell line: WA09" "Female"
"GSM760037" "cell type: embryonic stem cell, undifferentiated" "cell line: BG02" "Male"
"GSM760038" "cell type: embryonic stem cell, undifferentiated" "cell line: ESI049" "Male"
"GSM760039" "cell type: embryonic stem cell, undifferentiated" "cell line: FES22" "Male"
"GSM760040" "cell type: embryonic stem cell, undifferentiated" "cell line: FES22" "Male"
"GSM760041" "cell type: embryonic stem cell, undifferentiated" "cell line: HES4" "Male"
"GSM760042" "cell type: embryonic stem cell, undifferentiated" "cell line: HES4" "Male"
"GSM760043" "cell type: embryonic stem cell, undifferentiated" "cell line: HES4" "Male"
"GSM760044" "cell type: embryonic stem cell, undifferentiated" "cell line: HUES16" "Male"
"GSM760045" "cell type: embryonic stem cell, undifferentiated" "cell line: MEL1" "Male"
"GSM760046" "cell type: embryonic stem cell, undifferentiated" "cell line: MEL1" "Male"
"GSM760047" "cell type: embryonic stem cell, undifferentiated" "cell line: MEL1" "Male"
"GSM760048" "cell type: embryonic stem cell, undifferentiated" "cell line: MIZ4" "Male"
"GSM760049" "cell type: embryonic stem cell, undifferentiated" "cell line: MIZ4" "Male"
"GSM760050" "cell type: embryonic stem cell, undifferentiated" "cell line: MIZ4" "Male"
"GSM760051" "cell type: embryonic stem cell, undifferentiated" "cell line: MIZ4" "Male"
"GSM760052" "cell type: embryonic stem cell, undifferentiated" "cell line: MIZ4" "Male"
"GSM760053" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF002" "Male"
"GSM760054" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF002" "Male"
"GSM760055" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF005" "Male"
"GSM760056" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF011" "Male"
"GSM760057" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF014" "Male"
